subject,electrode,band,k,n_estimators,model,error
2,9,Beta,,50.0,RF,0.2
2,9,Beta,,100.0,RF,0.2
2,10,Mu,1.0,,KNN,0.2
2,10,Mu,2.0,,KNN,0.15
2,10,Mu,3.0,,KNN,0.3
2,10,Mu,4.0,,KNN,0.25
2,10,Mu,5.0,,KNN,0.4
2,10,Mu,6.0,,KNN,0.55
2,10,Mu,7.0,,KNN,0.45
2,10,Mu,8.0,,KNN,0.4
2,10,Mu,9.0,,KNN,0.5
2,10,Mu,10.0,,KNN,0.6
2,10,Mu,,10.0,RF,0.2
2,10,Mu,,50.0,RF,0.2
2,10,Mu,,100.0,RF,0.2
2,10,Beta,1.0,,KNN,0.15
2,10,Beta,2.0,,KNN,0.35
2,10,Beta,3.0,,KNN,0.35
2,10,Beta,4.0,,KNN,0.4
2,10,Beta,5.0,,KNN,0.3
2,10,Beta,6.0,,KNN,0.3
